rank,scenario_id,path_m,min_speed,p05_speed,mean_speed,moving_fraction,num_non_av,reason
27,0003e31e-8142-47af-9215-b8a306a31bc9,67.2055875768476,4.144758105024294,7.588115379573679,11.200931262807932,1.0,6,ok
28,0000b6ab-e100-4f6b-aee8-b520b57c0530,44.57497570908046,4.101914890228447,5.288998926359254,7.429162618180078,1.0,3,ok
29,000be335-f40a-4122-9621-45327a7a5ef4,42.12772130058016,3.6615014143788294,6.033172962783536,7.021286883430026,1.0,11,ok
30,0019a075-80c0-4100-8eb3-65854e8b6153,35.051833456460095,3.285229460981159,3.2964209332134398,5.841972242743349,1.0,3,ok
31,00078678-1b54-4f19-bccf-dec214baf06c,29.740017178300267,3.1334238954064024,3.170838523163266,4.95666952971671,1.0,12,ok
32,001c2912-6546-48b2-b270-3f5e491cdf4f,42.6730972778131,3.0645663071917366,4.92393406171203,7.112182879635516,1.0,13,ok
33,001043ad-b007-403e-ad54-89aa927ca76b,48.88939348893099,2.8131664334262863,4.575330602923054,8.148232248155164,1.0,6,ok
34,000b1e10-20b6-4b6b-9d0b-9b000ca47c8c,30.88243320846822,2.681693346765287,4.5421811071509275,5.147072201411371,1.0,10,ok
35,001426de-215b-406a-9899-42c7175fee65,23.526062043988528,2.566197432961813,3.526342289585626,3.921010340664753,1.0,7,ok
36,0011e48f-b0b9-44cb-9ed3-ea2c3c72b942,21.44049276804772,2.526025681920289,2.828478807090864,3.573415461341287,1.0,15,ok
37,0016248f-219a-47a5-bb28-a20fd6f4f46e,26.808054643701947,2.4425998821598114,2.643230198949396,4.468009107283658,1.0,4,ok
38,00097516-de98-4ac8-b596-8a589b70a557,46.6790890451851,2.262795753538204,4.217274445982093,7.779848174197517,1.0,10,ok
39,00099716-1352-4cae-81cb-34905f3da3bd,23.14122952188244,2.255622617313306,2.3424741019652524,3.8568715869804064,1.0,10,ok
40,00109d09-9976-460a-8fbc-a6f373102fa0,34.94352313066525,2.1573834472831894,3.9708217103140457,5.823920521777538,1.0,9,ok
41,0019ac2f-e5fe-4560-bdd4-7630a4efa3b0,36.115791747028425,2.0758135603923065,4.309606969096597,6.019298624504738,1.0,15,ok
42,001b6487-cda2-4260-8da8-9366e3adddaf,18.783578272190084,1.6728893487213825,2.0507942747302774,3.130596378698347,1.0,8,ok
43,001a13e6-b7b5-46b9-97c6-e04729515cee,33.75253505312154,1.5532102995077872,2.0396176103957737,5.625422508853589,1.0,10,ok
44,00161f57-44ed-46ee-b9c4-ddbc6e0168a8,39.226031202362726,1.3775636334307186,2.5881387050234115,6.537671867060454,1.0,3,ok
45,000946e5-5d33-474e-994a-f603af4d7a3c,36.15987365576841,1.2390443394064874,2.281426460973345,6.026645609294735,1.0,14,ok
46,000410c1-84d8-43a6-b6e8-34616cc1543f,11.53617796770219,1.1172101478681906,1.7024043645829297,1.9226963279503648,1.0,18,ok
47,001cbde0-dfca-40ff-ab9c-38230e96d03b,30.249917697570556,0.9783804185238901,1.9245337671743803,5.041652949595093,1.0,7,ok
48,0001b567-b7ac-4a91-b4fe-6132e4b81884,15.065635453992645,0.8552251669326257,1.5469848824178494,2.5109392423321077,1.0,14,ok
49,001088bb-7fd7-4b28-aeb7-fbe346782b18,35.71515933193317,0.7976192182530291,1.618638644032765,5.952526555322194,1.0,4,ok
50,0018515c-61ca-4d88-aea4-0db196bfa93b,30.42032838258343,0.7533231862265319,1.4728518910588488,5.070054730430571,1.0,6,ok
51,001b1e59-687f-4ba2-932c-0199c99f1a6b,10.55429334407947,0.5325848134871373,0.6910719522969382,1.7590488906799113,1.0,11,ok
